TC,DC,BD,NC,PP,NI,BC
35.52,26.83,8.5,0.19,32,0.18,5.3
40.62,22.38,3.6,14.64,23.9,0.6,0.7
36.16,28.74,1.1,6.32,33.12,0.8,4.4
36.23,25.36,7.9,2.97,30.37,0.26,4.9
29.24,21.75,4.6,2.88,32.43,0.25,10.6
13.14,6.46,6.5,0.18,26.69,5.66,14.7
32.59,22.11,9.7,0.78,26.75,0.29,5
28.75,15.99,2.8,9.96,20.14,0.19,4.5
27.5,16.43,1.3,9.77,19.88,0.1,3.6
26.37,21.88,1.9,2.59,33.22,0.22,11.5
26.82,22.19,4.5,0.14,32.74,0.88,9.9
30.4,23.05,4,3.36,30.14,1.67,5.6
11.41,4.11,7.2,0.1,15.97,2.15,9.8
30.5,12.99,9.1,8.41,15.96,0.23,3.3
28.98,12.24,0,16.75,13.6,0.06,1.3
29.12,17.04,7.1,4.98,20.12,0.38,3.8
25.45,18.79,4.1,2.56,28.94,1.06,10
27.24,18.68,8.3,0.26,26.55,0.38,8.2
26.31,18.2,7.6,0.51,26.85,0.4,8.9
10.01,4.88,4.6,0.53,12.82,1.02,7.1
21.52,5.61,2.5,13.41,5.62,0.02,0.1
18.67,12.09,1.6,4.98,16.91,0.92,4.2
26.37,19.42,2.8,4.14,27.6,0.19,8.5
25.75,18.09,7.3,0.37,25.38,0.27,7.5
30.43,23.69,6.3,0.44,31.45,0.16,7.9
29.53,15.71,2.8,11.02,30.16,0.24,19.2
8.11,4.03,4,0.08,14.3,6.82,3.6
22.45,17.03,5.2,0.22,27.5,3.69,7.3
22.34,12.39,9.7,0.25,16.08,0.83,3.5
26.09,18.44,6,1.66,25.22,0.49,7.6
19.48,10.45,8.7,0.33,20.19,2.5,9.7
21.17,8.23,3.9,9.04,9.73,0.33,1.7
25.36,14.74,3.9,6.72,19.48,0.16,5.4
5.34,1.01,1.7,2.64,12.08,2.44,12.6
21.99,16.68,5.1,0.21,27.98,1.25,10.7
21.68,17.55,4,0.13,27.43,3.05,7
21.9,17.52,4.2,0.19,25.2,3.83,4.2
20.18,14.21,5.7,0.27,22.96,1.42,7.7
23.76,11.63,9.5,2.63,14.02,0.28,2.6
24.11,15.53,6.1,2.48,25.11,0.33,10.1
12.65,2.5,0.5,9.66,11.2,0.89,12.8
23.64,13.15,10.2,0.3,17.08,1.07,3.5
25.51,17.61,6.5,1.41,25.57,0.09,8
20.98,16.53,4.1,0.35,26.11,0.18,9.4
23.22,18.3,4.7,0.22,25.79,0.21,7.4
33.21,18.18,14.52,0.5,25.36,0.15,7.1
25.94,17.2,4.48,4.27,26.34,0.18,11.9
9.44,4.71,4.7,0.03,25.05,6.14,14.3
26.91,20.17,6.5,0.24,26.04,0.23,5.7
27.11,19.34,7.6,0.17,25.75,0.15,6.3
25.75,15.12,7.3,3.33,19.8,0.17,4.8
25.07,18.94,2.1,4.04,24.32,0.09,5.3
22.8,8.33,1.9,12.56,9.25,0.03,1
21.49,12.21,2.6,6.68,15.14,0.19,3.3
7.88,3.42,0.9,3.56,11.8,0.54,7.9
22.14,12.26,0.9,8.98,21.59,0.06,10.2
16.82,7.23,9.4,0.19,11.98,0.44,4.5
20.66,15.3,5.2,0.16,23.78,0.14,8.5
26.03,15.82,10,0.21,22.97,0.19,7.2
21.82,14.03,6.6,1.19,21.52,0.13,7.5
22.11,15.08,6.1,0.94,22.6,0.11,7.5
8.79,4.91,2.66,1.22,16.88,2.13,9.94
21.7,15.94,5.64,0.12,21.51,0.11,5.46
19.9,14.86,4.9,0.14,21.6,0.13,6.7
27.49,12.93,5,9.56,13.45,0.24,5.2
25.18,6.31,9,9.87,6.59,0.24,7.8
20.08,6.34,0,13.74,6.85,0.03,0.5
25.58,9.43,1.7,14.45,12.32,0.27,4.5
23.61,0,0,0.15,12.77,4.37,15.7
31,11,10.4,9.59,11.61,1.5,2.3
34.46,12.8,0,21.66,15.91,0.31,12.6
30.43,16.06,11.3,3.07,18.64,4,2.9
27.86,16.33,0.1,11.43,20,0.17,5
14.49,8.16,0,6.33,18.77,5.2,9.6
19.31,11.12,7.5,0.69,16.41,5.9,2.1
9.41,5.77,3.5,0.14,17.59,4.37,9
35.46,18.37,5.8,11.29,18.86,0.13,0.6
30.28,17.42,1.9,10.96,18.84,0.23,7.7
24.84,14.43,8.7,1.71,16.98,3.45,13.6
22.44,14.29,7.3,0.85,16.37,5.18,10.6
19,8.79,8.6,1.61,12.74,8.7,8.7
18.16,10.73,7.2,0.24,13.89,5.77,11.5
19.87,1.83,1.6,0.06,8.66,9.39,5.1
30.2,15.99,8.7,5.51,17.53,0.32,7.4
29.55,14.85,10.8,3.9,16.92,2.34,8.6
29,15.41,0.7,12.89,17.18,0.16,1.9
46.19,14.86,0,31.24,14.87,0.01,0
30.04,10.17,4.5,15.38,15.7,0.09,5.8
11.33,2.29,1.7,7.34,15.21,1.23,13.3
12.11,4.56,7.5,0.05,11.93,1.06,6.5
42.74,8.86,4.3,29.58,8.94,0.01,0.3
37.3,11.15,0,26.15,11.37,0.09,4.7
27.88,13.41,10.6,3.87,14.2,0.93,9.7
50.45,13.09,9.6,27.76,15.42,0.51,10.7
36.74,12.52,7.5,16.72,15.98,1.1,13.9
35.42,7.86,9.2,18.36,8.92,1.6,8.3
13.71,2.64,8.1,2.96,13.13,2.39,11.5
30.92,13.22,8.4,9.3,14.72,0.41,13.2
28.27,2.15,8.8,17.33,2.98,1.53,11.6
25.8,13.68,9.1,3.02,14.93,0.91,12.9
27.01,10.91,9.3,6.8,11.57,1.55,11.3
19.58,9.05,10.1,0.43,11.21,1.28,12.8
32.61,6.73,9,16.88,8.21,2.43,7.7
8.23,2.39,0,5.84,5.8,0.22,6.3
42.63,2.84,8.9,30.89,3.09,0.21,9.6
23.22,7.52,7.6,8.11,8.9,0.4,9
40.18,4.37,5.2,30.61,4.65,0.13,4.3
47.2,8.76,0,38.23,8.88,0.02,0.1
40.78,12.03,0,28.75,13.14,0.01,1.1
25.39,11.07,0,14.26,12.9,0.05,1.9
27.22,2.64,0,24.58,2.65,0,0
36.53,9.11,0,27.41,9.87,0.08,1.9
38.34,12.57,1.4,24.37,13.09,0.18,4.5
35.22,12.69,2.6,19.93,13.22,0.18,4.4
29.4,11.86,3.3,14.24,13.34,0.22,7.7
23.39,11.41,9.5,2.47,12.34,2.44,10.2
55.07,9.89,8.8,36.38,11.16,1.29,9.4
12.14,0.39,8.7,3.05,2.03,0.32,12.3
55.06,0.29,8.8,45.97,1.35,0.08,9.3
46.61,5.62,0,40.99,5.62,0.08,3.3
43.01,1.54,6.9,34.57,1.74,0.12,5.7
32.3,4.71,0,27.6,5.86,0.05,1.1
32,2.69,0,29.31,2.73,0.01,0.1
31.83,1.75,0,30.08,1.74,0,0
31.77,7.18,4.3,20.29,11.47,0.66,4.2
31.9,5.24,0,26.66,5.48,0.13,3.1
19.18,2.46,5.5,11.21,2.68,0.3,7.2
27.35,11.35,3.6,12.41,11.91,0.21,5.2
10.49,3.46,3.4,3.63,11.33,0.07,7.8
10.58,3.13,7.1,0.35,11.44,0.64,7.7
10.68,3.47,7,0.2,11.02,0.16,7.5
19.96,3.46,9.3,7.1,11.13,0.45,7.3
49.15,5.07,0,44.08,5.24,0.02,0.3
61.87,4.14,0,57.73,4.2,0,15.3
41.41,2.48,9.2,29.73,2.58,0.09,4.2
42.09,9.83,1.7,30.57,11.6,0.27,2.8
31.53,8.78,1.6,21.15,10.92,0.23,6
38.34,0,0,0.1,3.37,9.56,10.4
37.32,5.3,2.4,0.11,10.45,12.26,4.1
39.84,14.09,9.2,16.55,14.45,5.67,2
38.31,14.88,1.51,21.91,15.38,0.1,2.5
39.9,15.28,24.61,15.57,0.29,15.28,2.87
